Category,Description,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
SOUP,"SOUP,BLACK BEAN,CND,PREP W/ EQ VOLUME H2O",11,0.0,0.035,0.1,0.18,0.9
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,GRILLED SIRLOIN STEAK HEARTY VEG SP",0,0.0,0.0,0.5,0.0,0.0
SOUP,"SOUP,BEAN W/ PORK,CND,PREP W/ EQ VOLUME H2O",17,0.01,0.015,0.6,0.43,1.2
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,HEALTHY REQUEST CHICK NOODLE SOUP",0,0.0,0.0,1.0,0.0,0.0
SOUP,"SOUP,BEAN W/ FRANKFURTERS,CND,PREP W/ EQ VOLUME H2O",17,0.03,0.053,0.4,0.0,0.0
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,HEALTHY REQUEST VEG SOUP",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,BF NOODLE,CND,PREP W/ EQ VOLUME H2O",5,0.08,0.015,0.2,0.5,0.8
SOUP,"SOUP,CRM OF CELERY,CND,PREP W/ EQ VOLUME H2O",23,0.1,0.005,0.1,0.0,0.0
SOUP,"SOUP,CHS,CND,PREP W/ EQ VOLUME H2O",120,0.0,0.01,0.0,0.0,0.0
SOUP,"SOUP,CHICK W/ DUMPLINGS,CND,PREP W/ EQ VOLUME H2O",19,0.07,0.015,0.0,0.23,1.7
SOUP,"SOUP,CHICK BROTH,CND,PREP W/ EQ VOLUME H2O",0,0.1,0.01,0.0,0.02,0.0
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,HEARTY BEAN 'N' HAM SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,HEARTY BF BARLEY SOUP",0,0.0,0.0,0.5,0.0,0.0
SOUP,"SOUP,CRM OF CHICK,CND,PREP W/ EQ VOLUME H2O",67,0.04,0.007,0.1,0.0,0.0
SOUP,"SOUP,CHICK GUMBO,CND,PREP W/ EQ VOLUME H2O",3,0.01,0.026,2.0,0.15,2.6
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,HEARTY CHICK W/ VEG SOUP",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,CHICK NOODLE,CND,PREP W/ EQ VOLUME H2O",11,0.02,0.02,0.0,0.03,0.0
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,HEARTY VEG W/ PASTA SOUP",0,0.0,0.0,1.0,0.0,0.0
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,HERB RSTD CHICK POTATOES GARLIC SOUP",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,CHICK W/ RICE,CND,PREP W/ EQ VOLUME H2O",9,0.07,0.01,0.1,0.03,0.1
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,HONEY RSTD HAM W/ POTATOES SOUP",0,0.0,0.0,0.5,0.0,0.0
SOUP,"SOUP,CHICK VEG,CND,PREP W/ EQ VOLUME H2O",42,0.05,0.02,0.4,0.17,3.5
SOUP,"SOUP,CHILI BF,CND,PREP W/ EQ VOLUME H2O",28,0.15,0.059,1.5,0.53,1.6
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,ITALIAN SAUSAGE & PEPPERS SOUP",0,0.0,0.0,1.0,0.0,0.0
SOUP,"SOUP,CLAM CHOWDER,MANHATTAN,CND,PREP W/EQ VOLUME H2O",20,1.58,0.039,1.6,0.5,2.7
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,MANHATTEN CLAM CHOWDER",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,CLAM CHOWDER,NEW ENGLAND,CND,PREP W/ EQ VOLUME H2O",8,4.63,0.051,2.0,0.2,0.4
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,NEW ENGLAND CLAM CHOWDER",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O",0,0.0,0.01,0.4,0.0,0.0
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,OLD FASHIONED POTATO HAM CHOWDER",0,0.0,0.0,1.0,0.0,0.0
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,OLD FASHIONED VEG BF SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,PEPPER STEAK SOUP",0,0.0,0.0,0.5,0.0,0.0
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,PORK RST CARROTS POTATOES SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,ROADHOUSE - BF BEAN CHILI",0,0.0,0.0,0.5,0.0,0.0
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,SALISBURY STEAK MUSHRMS ONIONS SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,SAVORY CHICK WHITE WILD RICE SOUP",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,MINESTRONE,CND,PREP W/ EQ VOLUME H2O",49,0.0,0.041,0.5,0.0,0.0
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,SAVORY POT RST SOUP",0,0.0,0.0,0.5,0.0,0.0
SOUP,"SOUP,MUSHROOM BARLEY,CND,PREP W/ EQ VOLUME H2O",4,0.0,0.07,0.0,0.0,0.0
SOUP,"SOUP,CRM OF MUSHROOM,CND,PREP W/ EQ VOLUME H2O",4,0.0,0.0,0.0,0.4,0.8
SOUP,"SOUP,MUSHROOM W/ BF STOCK,CND,PREP W/ EQ VOLUME H2O",26,0.0,0.015,0.4,0.0,0.0
SOUP,"SOUP,ONION,CND,PREP W/ EQ VOLUME H2O",1,0.0,0.02,0.5,0.11,0.2
SOUP,"SOUP,CRM OF ONION,CND,PREP W/ EQ VOLUME H2O",6,0.02,0.01,0.5,0.0,0.0
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,SAVORY VEG SOUP",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,OYSTER STEW,CND,PREP W/ EQ VOLUME H2O",8,0.91,0.005,1.3,0.0,0.0
SOUP,"SOUP,PEA,GRN,CND,PREP W/ EQ VOLUME H2O",3,0.0,0.02,0.6,0.09,0.2
SOUP,"SOUP,PEA,SPLIT W/ HAM,CND,PREP W/ EQ VOLUME H2O",9,0.1,0.027,0.6,0.0,0.0
SOUP,"SOUP,PEPPERPOT,CND,PREP W/ EQ VOLUME H2O",19,0.07,0.024,0.5,0.03,0.0
SOUP,"SOUP,CRM OF POTATO,CND,PREP W/ EQ VOLUME H2O",29,0.02,0.015,0.0,0.0,0.0
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,SIZZLIN' STEAK- GRLD STK CHILI BNS",0,0.0,0.0,0.5,0.0,0.0
SOUP,"SOUP,SCOTCH BROTH,CND,PREP W/ EQ VOLUME H2O",0,0.11,0.03,0.4,0.03,0.0
SOUP,"SOUP,CRM OF SHRIMP,CND,PREP W/ EQ VOLUME H2O",16,0.24,0.015,0.0,0.0,0.0
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,SLOW RSTD BF W/ MUSHROOMS SOUP",0,0.0,0.0,0.5,0.0,0.0
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,SMOKED CHICK W/ RSTD CORN CHOWDER",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,SPLIT PEA 'N' HAM SOUP",0,0.0,0.0,1.0,0.0,0.0
SOUP,"SOUP,STOCKPOT,CND,PREP W/ EQ VOLUME H2O",81,0.0,0.036,0.8,0.0,0.0
SOUP,"SOUP,TOMATO BF W/ NOODLE,CND,PREP W/ EQ VOLUME H2O",12,0.08,0.035,0.0,0.31,0.0
CAMPBELL'S CHUNKY SOUPS,"CAMPBELL'S CHUNKY SOUPS,STEAK 'N' POTATO SOUP",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,TOMATO RICE,CND,PREP W/ EQ VOLUME H2O",12,0.0,0.03,5.8,0.86,1.5
CAMPBELL'S CHNKY SOUPS,"CAMPBELL'S CHNKY SOUPS,TANTALIZIN' TRKY - TRKY CHILI BNS SP",0,0.0,0.0,1.0,0.0,0.0
SOUP,"SOUP,TURKEY NOODLE,CND,PREP W/ EQ VOLUME H2O",6,0.06,0.015,0.1,0.0,0.0
SOUP,"SOUP,TURKEY VEG,CND,PREP W/ EQ VOLUME H2O",51,0.07,0.02,0.0,0.0,0.0
SOUP,"SOUP,VEGETARIAN VEG,CND,PREP W/ EQ VOLUME H2O",71,0.0,0.023,0.6,0.58,2.1
SOUP,"SOUP,VEG BF,CND,PREP W/ EQ VOLUME H2O",78,0.13,0.03,1.0,0.24,2.8
SOUP,"SOUP,VEG W/ BF BROTH,CND,PREP W/ EQ VOLUME H2O",43,0.0,0.023,1.0,0.06,1.2
SOUP,"SOUP,BEAN W/ BACON,DRY,MIX,PREP W/ H2O",1,0.01,0.01,0.4,0.21,0.6
SOUP,"SOUP,BF BROTH OR BOUILLON,PDR,PREP W/H2O",0,0.01,0.003,0.0,0.01,0.0
SOUP,"SOUP,BF BROTH,CUBED,PREP W/H2O",0,0.01,0.003,0.0,0.01,0.0
SOUP,"SOUP,CHICK BROTH OR BOUILLON,DRY,PREP W/ H2O",0,0.0,0.002,0.0,0.01,0.0
SOUP,"SOUP,CHICK BROTH CUBES,DRY,PREP W/ H2O",1,0.01,0.0,0.0,0.0,0.0
SOUP,"SOUP,CRM OF CHICK,DRY,MIX,PREP W/ H2O",8,0.1,0.02,0.2,0.23,5.6
SOUP,"SOUP,CHICK RICE,DRY,MIX,PREP W/ H2O",0,0.03,0.01,0.0,0.02,0.1
SOUP,"SOUP,CONSOMME W/ GELATIN,DRY,MIX,PREP W/ H2O",0,0.02,0.011,0.1,0.01,0.0
SOUP,"SOUP,MUSHROOM,DRY,MIX,PREP W/ H2O",7,0.02,0.009,0.4,0.22,1.1
SOUP,"SOUP,ONION,DRY,MIX,PREP W/ H2O",0,0.0,0.025,0.1,0.01,0.1
SOUP,"SOUP,OXTAIL,DRY,MIX,PREP W/ H2O",0,0.01,0.011,0.1,0.13,0.3
CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS,"CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS,CHICK NOODLE SOUP",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,TOMATO,DRY,MIX,PREP W/ H2O",20,0.06,0.058,2.0,0.22,0.8
SOUP,"SOUP,TOMATO VEG,DRY,MIX,PREP W/ H2O",4,0.02,0.026,1.2,0.17,1.2
SOUP,"SOUP,VEG BF,DRY,MIX,PREP W/ H2O",5,0.03,0.044,0.8,0.08,0.5
CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,"CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,CHICK RICE SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS,"CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS,CREAMY TOMATO SOUP",0,0.0,0.0,2.4,0.0,0.0
CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,"CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,TOMATO SOUP",0,0.0,0.0,2.4,0.0,0.0
CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,"CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,VEG BF SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL GOLD LABEL SOUPS,"CAMPBELL'S SEL GOLD LABEL SOUPS,BLNDED RED PEPP BLK BEAN SP",0,0.0,0.0,1.5,0.0,0.0
CAMPBELL'S SEL GOLD LABEL SOUPS,"CAMPBELL'S SEL GOLD LABEL SOUPS,CRMY PORTOBELLO MSHRM SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL GOLD LABEL SOUPS,"CAMPBELL'S SEL GOLD LABEL SOUPS,GOLDEN BUTTERNUT SQSH SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL MCRWVABLE BOWLS,"CAMPBELL'S SEL MCRWVABLE BOWLS,98% FT FR NEW ENGL CLAM CHDER",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL MCRWVABLE BOWLS,"CAMPBELL'S SEL MCRWVABLE BOWLS,CHICK W/ EGG NOODLES SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL MCRWVABLE BWLS,"CAMPBELL'S SEL MCRWVABLE BWLS,ITAL SSGE PSTA & PEPRNI SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL MCRWVABLE BOWLS,"CAMPBELL'S SEL MCRWVABLE BOWLS,ITALIAN-STYLE WEDDING SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL MCRWVABLE BOWLS,"CAMPBELL'S SEL MCRWVABLE BOWLS,MEX STYLE CHICK TORTILLA SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL MICROWAVEABLE BOWLS,"CAMPBELL'S SEL MICROWAVEABLE BOWLS,MINESTRONE SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL MCRWVABLE BOWLS,"CAMPBELL'S SEL MCRWVABLE BOWLS,SVRY CHK & LONG GRN RICE SOUP",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,CHICK NOODLE,DRY,MIX,PREP W/ H2O",1,0.02,0.01,0.0,0.05,1.4
CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,98% FAT FREE NEW ENGLAND CLAM CHOWDER",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,BF W/ RSTD BARLEY SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,CHICK & PASTA W/ RSTD GARLIC SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,CHICK VEG MEDLEY SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,CREAMY CHICK ALFREDO SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,HEALTHY REQUEST MEX STYLE CHICK TORTILLA",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,ITALIAN SAUSAGE W/ PASTA PEPPERONI SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,ITALIAN-STYLE WEDDING SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,MEDITERRANEAN MEATBALL BOWTIE PASTA SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,MEXICAN STYLE CHICK TORTILLA SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CAMPBELL'S SEL SOUP,MINESTRONE SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,NEW ENGLAND CLAM CHOWDER",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,POTATO BROCCOLI CHS SOUP",0,0.0,0.0,1.0,0.0,0.0
SOUP,"SOUP,BF MUSHROOM,CND,PREP W/ EQ VOLUME H2O",0,0.08,0.02,1.9,0.0,0.0
CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,RSTD CHICK W/ LONG GRAIN WILD RICE SOUP",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,CHICK MUSHROOM,CND,PREP W/ EQ VOLUME H2O",23,0.02,0.02,0.0,0.0,0.0
CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,RSTD CHICK W/ ROTINI & PENNE PASTA SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,SAVORY WHITE BEAN W/ RSTD HAM SOUP",0,0.0,0.0,0.5,0.0,0.0
CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,SLOW RSTD BF & VEG SOUP",0,0.0,0.0,0.5,0.0,0.0
CAMPBELL'S SEL SOUP,"CAMPBELL'S SEL SOUP,SPLIT PEA W/ RSTD HAM SOUP",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,TOMATO BISQUE,CND,PREP W/ EQ VOLUME H2O",18,0.0,0.036,2.4,0.0,0.0
SOUP,"SOUP,TOMATO,CND,PREP W/EQ VOLUME H2O,COMM",10,0.0,0.042,6.3,0.17,1.5
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CAMPBELL'S SEL SOUP,TOMATO GARDEN SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CAMPBELL'S SEL SOUP,VEG MEDLEY SOUP",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,RAMEN NOODLE,ANY FLAVOR,DRY",1,0.01,0.061,0.0,2.03,5.7
SOUP,"SOUP,BROCCOLI CHS,CND,COND,COMM",66,0.02,0.064,2.0,0.72,51.8
CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,BLENDED VEG MEDLEY SOUP",0,0.0,0.0,9.8,0.0,0.0
CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,CHICK & STARS SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,CHICK W/ MINI NOODLES SOUP",0,0.0,0.0,0.8,0.0,0.0
CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,CRM OF BROCCOLI SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,CREAMY CHICK SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,CREAMY TOMATO SOUP",0,0.0,0.0,7.9,0.0,0.0
CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,ITALIAN STYLE WEDDING SOUP",0,0.0,0.0,0.4,0.0,0.0
CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,NEW ENGLAND CLAM CHOWDER",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CAMPBELL'S SOUP AT HAND,VEG BF SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,VELVETY POTATO SOUP",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,CHIPOTLE CHUNKY SALSA",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,CILANTRO CHUNKY SALSA",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,ENCHILADA SAU",0,0.0,0.0,2.0,0.0,0.0
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,GRN TACO SAU",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,LIME & GARLIC CHUNKY SALSA",0,0.0,0.0,5.6,0.0,0.0
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,ORGANIC PICANTE SAU",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,PICANTE SAU",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,RED TACO SAU",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,THICK & CHUNKY SALSA",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,SWANSON BROTH,CERT ORGANIC VEG BROTH",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,SWANSON BROTH,VEG BROTH",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,HLTHY RQUST STYLE WEDDING SP",0,0.0,0.0,0.0,0.0,0.0
SAUCE,"SAUCE,CHS SAU MIX,DRY",56,0.46,0.182,0.9,0.0,0.0
SOUP,"SOUP,CHICK CORN CHOWDER,CHUNKY,RTS,SINGLE BRAND",58,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,CHICK MUSHROOM CHOWDER,CHUNKY,RTS,SINGLE BRAND",0,0.0,0.0,2.0,0.0,0.0
SOUP,"SOUP,POTATO HAM CHOWDER,CHUNKY,RTS,SINGLE BRAND",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,SIRLOIN BURGER W/VEG,RTS,SINGLE BRAND",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,SPLIT PEA W/ HAM,CHUNKY,RED FAT,RED NA,RTS,SINGLE BRAND",131,0.0,0.0,4.2,0.0,0.0
SOUP,"SOUP,BEAN W/BACON,COND,SINGLE BRAND",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,BF W/VEG&BARLEY,CND,COND,SINGLE BRAND",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,CHICK W/STAR-SHAPED PASTA,CND,COND,SINGLE BRAND",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,CRM OF CHICK,CND,COND,SINGLE BRAND",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,SPLIT PEA W/HAM&BACON,CND,COND,SINGLE BRAND",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,VEG BF,CND,COND,SINGLE BRAND",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,CHICK VEG,CHUNKY,RED FAT,RED NA,RTS,SINGLE BRAND",0,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,VEG BF,MICROWAVABLE,RTS,SINGLE BRAND",33,0.0,0.0,0.0,0.0,0.0
SOUP,"SOUP,CHUNKY BF W/ COUNTRY VEG,RTS",90,0.0,0.0,0.0,0.0,0.0
SAUCE,"SAUCE,CHS,RTS",80,0.14,0.017,0.4,0.0,0.0
SAUCE,"SAUCE,PASTA,SPAGHETTI/MARINARA,RTS",38,0.0,0.173,2.0,2.4,13.9
CAMPBELL SOUP COMP,"CAMPBELL SOUP COMP,PREGO PASTA,TRADITIONAL ITALIAN SAU,RTS",0,0.0,0.0,1.8,0.0,0.0
SOUP,"SOUP,CRM OF CHICK,CND,COND,RED NA",25,0.05,0.012,0.0,0.08,0.7
SOUP,"SOUP,TOMATO,CND,COND,RED NA",20,0.0,0.086,12.9,0.34,3.2
GRAVY,"GRAVY,BROWN INST,DRY",0,0.33,0.282,1.9,0.38,0.3
GRAVY,"GRAVY,INST BF,DRY",2,0.62,0.138,0.9,0.01,0.4
GRAVY,"GRAVY,INST TURKEY,DRY",18,0.37,0.205,0.9,0.74,2.0
SAUCE,"SAUCE,ALFREDO MIX,DRY",54,0.38,0.134,0.0,1.84,6.2
SAUCE,"SAUCE,PEPPERS,HOT,CHILI,MATURE RED,CND",23,0.0,0.14,30.0,0.36,6.7
SAUCE,"SAUCE,CHILI,PEPPERS,HOT,IMMAT GRN,CND",29,0.0,0.14,68.0,0.34,7.1
No Category,FISH BROTH,1,0.1,0.01,0.0,0.15,0.2
SOUP,"SOUP,TOMATO,LO NA,W/H2O",10,0.0,0.042,6.3,0.17,1.5
SOUP,"SOUP,PEA,LO NA,PREP W/ EQ VOLUME H2O",3,0.0,0.02,0.6,0.09,0.2
SOUP,"SOUP,CHICK NOODLE,LO NA,CND,PREP W/ EQ VOLUME H2O",11,0.02,0.02,0.0,0.03,0.0
SOUP,"SOUP,VEG SOUP,COND,LO NA,PREP W/ EQ VOLUME H2O",43,0.0,0.084,0.4,0.72,2.1
SOUP,"SOUP,CRM OF MUSHROOM,LO NA,RTS,CND",7,0.02,0.01,0.4,0.37,0.8
POTATO SOUP,"POTATO SOUP,INST,DRY MIX",3,0.0,0.16,16.0,0.54,13.9
SOUP,"SOUP,CHICK BROTH,LO NA,CND",0,0.1,0.01,0.0,0.0,0.0
SAUCE,"SAUCE,WORCESTERSHIRE",5,0.0,0.0,13.0,0.08,1.0
SAUCE,"SAUCE,TOMATO CHILI SAU,BTLD,W/SALT",34,0.0,0.16,16.0,1.92,5.2
SAUCE,"SAUCE,TOMATO CHILI SAU,BTLD,NO SALT,LO NA",10,0.0,0.16,16.0,0.25,1.2
SOUP,"SOUP,VEG CHICK,CND,PREP W/ H2O,LO NA",138,0.1,0.04,2.3,0.3,6.2
SAUCE,"SAUCE,BARBECUE,LO NA",12,0.0,0.041,0.7,0.66,1.8
SAUCE,"SAUCE,PASTA,SPAGHETTI/MARINARA,RTS,LO NA",38,0.0,0.173,2.0,2.4,13.9
GRAVY,"GRAVY,MEAT OR POULTRY,LO NA,PREP",0,0.1,0.01,0.0,0.06,0.0
SOUP,"SOUP,BF & MUSHROOM,LO NA,CHUNK STYLE",98,0.26,0.06,3.0,0.22,3.5
No Category,ADOBO FRESCO,11,0.0,0.0,5.8,2.69,7.7
SOUP,"SOUP,BF STROGANOFF,CND,CHUNKY STYLE,RTS",84,0.26,0.06,0.0,0.41,102.8
SOUP,"SOUP,BOUILLON CUBES&GRANULES,LO NA,DRY",25,0.3,0.1,1.1,0.72,66.9
SOUP,"SOUP,RAMEN NOODLE,BF FLAVOR,DRY",0,0.18,0.087,0.6,1.56,0.0
SOUP,"SOUP,RAMEN NOODLE,CHICK FLAVOR,DRY",0,0.31,0.088,0.0,1.45,0.0
Soup,"Soup, Swanson chickne broth",0,0.2,0.014,0.0,0.0,0.0
GRY,"GRY, HNZ Home style beef gravy",0,0.09,0.014,0.0,0.0,0.0
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CHICK NOODLE SOUP,COND",0,0.0,0.0,0.0,0.0,0.0
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CRM OF CELERY,COND",0,0.0,0.0,0.0,0.0,0.0
