Category,Description,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
DESSERT TOPPING,"DESSERT TOPPING,POWDERED",9,0.0,0.0,0.0,1.52,9.9
DESSERT TOPPING,"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",23,0.26,0.03,0.7,0.44,2.7
DESSERT TOPPING,"DESSERT TOPPING,PRESSURIZED",4,0.0,0.0,0.0,0.85,5.5
DESSERT TOPPING,"DESSERT TOPPING,SEMI SOLID,FRZ",7,0.0,0.0,0.0,0.96,6.3
SOUR CRM,"SOUR CRM,IMITN,CULTURED",0,0.0,0.0,0.0,0.74,4.8
MILK SUBSTITUTES,"MILK SUBSTITUTES,FLUID W/HYDR VEG OILS",0,0.0,0.0,0.0,0.28,0.8
MILK SUBSTITUTES,"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",0,0.0,0.0,0.0,0.0,0.0
MILK,"MILK,WHL,3.25% MILKFAT",28,0.44,0.036,0.0,0.06,0.2
MILK,"MILK,PRODUCER,FLUID,3.7% MILKFAT",33,0.36,0.042,1.5,0.0,0.0
MILK,"MILK,RED FAT,FLUID,2%MILKFAT,W/ADDED VIT A",55,0.46,0.038,0.2,0.03,0.2
MILK,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL&VIT A",56,0.38,0.045,1.0,0.0,0.0
MILK,"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A",0,0.43,0.051,1.1,0.04,0.1
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A",58,0.44,0.037,0.0,0.01,0.1
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A",59,0.38,0.045,1.0,0.0,0.0
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A",61,0.43,0.05,1.2,0.0,0.0
MILK,"MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM)",61,0.53,0.037,0.0,0.01,0.0
MILK,"MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM)",61,0.39,0.046,1.0,0.0,0.0
MILK,"MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM)",61,0.43,0.05,1.1,0.0,0.0
MILK,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",7,0.22,0.034,1.0,0.05,0.1
MILK,"MILK,LOW SODIUM,FLUID",28,0.36,0.034,0.9,0.06,0.2
MILK,"MILK,DRY,WHOLE",257,3.25,0.302,8.6,0.48,1.8
MILK,"MILK,DRY,NONFAT,REG,WO/ VIT A",6,4.03,0.361,6.8,0.0,0.1
MILK,"MILK,DRY,NONFAT,INST,W/ VIT A",709,3.99,0.345,5.6,0.01,0.0
MILK,"MILK,DRY,NONFAT,CA RED",2,3.98,0.298,6.7,0.0,0.0
MILK,"MILK,BUTTERMILK,DRIED",49,3.82,0.338,5.7,0.1,0.4
MILK,"MILK,CND,COND,SWTND",74,0.44,0.051,2.6,0.16,0.6
MILK,"MILK,CND,EVAP,WO/ VIT A",65,0.16,0.05,1.9,0.14,0.5
MILK,"MILK,CND,EVAP,NONFAT",118,0.24,0.055,1.2,0.0,0.0
MILK,"MILK,CHOC,FLUID,COMM,",26,0.33,0.04,0.9,0.06,0.2
MILK,"MILK,CHOC,FLUID,COMM,RED FAT",64,0.33,0.024,0.0,0.04,0.2
MILK,"MILK,CHOC,FLUID,COMM,LOWFAT",58,0.34,0.041,0.9,0.02,0.1
MILK,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",51,0.42,0.04,0.2,0.03,0.2
MILK,"MILK,GOAT,FLUID",57,0.07,0.046,1.3,0.07,0.3
MILK,"MILK,HUMAN,MATURE,FLUID",61,0.05,0.011,5.0,0.08,0.3
MILK,"MILK,INDIAN BUFFALO,FLUID",53,0.36,0.023,2.3,0.0,0.0
MILK,"MILK,SHEEP,FLUID",44,0.71,0.06,4.2,0.0,0.0
MILK SHAKES,"MILK SHAKES,THICK CHOC",18,0.32,0.025,0.0,0.05,0.2
MILK SHAKES,"MILK SHAKES,THICK VANILLA",25,0.52,0.042,0.0,0.05,0.2
WHEY,"WHEY,ACID,FLUID",2,0.18,0.042,0.1,0.0,0.0
WHEY,"WHEY,ACID,DRIED",17,2.5,0.62,0.9,0.0,0.0
WHEY,"WHEY,SWEET,FLUID",3,0.28,0.031,0.1,0.0,0.0
WHEY,"WHEY,SWEET,DRIED",8,2.37,0.584,1.5,0.02,0.1
YOGURT,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",27,0.37,0.032,0.5,0.06,0.2
YOGURT,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",14,0.56,0.049,0.8,0.03,0.2
YOGURT,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",2,0.61,0.053,0.9,0.0,0.2
YOGURT,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",12,0.53,0.045,0.8,0.02,0.1
YOGURT,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",11,0.43,0.037,0.6,0.02,0.1
YOGURT,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",10,0.47,0.04,0.7,0.02,0.1
YOGURT,"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",0,0.52,0.045,0.7,0.0,0.0
EGG,"EGG,WHOLE,RAW,FRESH",140,1.29,0.143,0.0,0.97,0.3
EGG,"EGG,WHITE,RAW,FRESH",0,0.09,0.005,0.0,0.0,0.0
EGG,"EGG,YOLK,RAW,FRSH",381,1.95,0.35,0.0,2.58,0.7
EGG,"EGG,YOLK,RAW,FROZEN",433,1.82,0.345,0.0,2.49,0.7
EGG,"EGG,YOLK,RAW,FRZ,SUGARED",395,1.77,0.284,0.0,0.0,0.0
EGG,"EGG,WHL,CKD,FRIED",198,1.39,0.155,0.0,1.22,5.6
EGG,"EGG,WHL,CKD,HARD-BOILED",169,1.11,0.121,0.0,1.03,0.3
EGG,"EGG,WHOLE,COOKED,OMELET",155,1.09,0.121,0.0,1.22,4.5
EGG,"EGG,WHL,CKD,POACHED",139,1.28,0.121,0.0,0.96,0.3
EGG,"EGG,WHL,CKD,SCRMBLD",143,0.77,0.118,0.2,1.09,4.0
EGG,"EGG,WHOLE,DRIED",275,3.95,0.388,0.0,3.88,1.2
EGG,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",616,10.51,0.42,0.0,0.0,0.0
EGG,"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",0,0.49,0.023,0.0,0.0,0.0
EGG,"EGG,WHITE,DRIED,PDR,GLUCOSE RED",0,0.53,0.024,0.0,0.0,0.0
EGG,"EGG,YOLK,DRIED",417,5.33,0.66,0.0,5.42,1.5
EGG,"EGG,DUCK,WHOLE,FRESH,RAW",194,5.4,0.25,0.0,1.34,0.4
EGG,"EGG,GOOSE,WHOLE,FRESH,RAW",187,5.1,0.236,0.0,1.29,0.4
EGG,"EGG,QUAIL,WHOLE,FRESH,RAW",156,1.58,0.15,0.0,1.08,0.3
EGG,"EGG,TURKEY,WHL,FRSH,RAW",166,1.69,0.131,0.0,0.0,0.0
EGG SUBSTITUTE,"EGG SUBSTITUTE,FROZEN",11,0.34,0.133,0.5,1.59,0.2
EGG SUBSTITUTE,"EGG SUBSTITUTE,LIQUID",18,0.3,0.003,0.0,0.27,0.8
EGG SUBSTITUTE,"EGG SUBSTITUTE,POWDER",369,3.52,0.143,0.8,1.26,0.4
BUTTER,"BUTTER,WITHOUT SALT",684,0.17,0.003,0.0,2.32,7.0
CHEESE,"CHEESE,PARMESAN,SHREDDED",122,1.4,0.105,0.0,0.0,0.0
CHEESE,"CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4",254,0.7,0.071,0.0,0.27,2.7
CHEESE,"CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4",225,1.23,0.036,0.0,0.0,0.0
CHEESE FD,"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",201,1.12,0.141,0.0,0.22,0.0
CHEESE SPRD,"CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4",0,0.4,0.117,0.0,0.0,0.0
MILK,"MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)",2,0.38,0.04,1.0,0.04,0.0
MILK,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",17,0.39,0.046,1.1,0.0,0.0
MILK,"MILK,CND,EVAP,W/ VIT A",0,0.16,0.05,1.9,0.0,0.0
MILK,"MILK,DRY,NONFAT,REG,W/ VIT A",653,4.03,0.361,6.8,0.0,0.1
MILK,"MILK,DRY,NONFAT,INST,WO/ VIT A",4,3.99,0.345,5.6,0.01,0.0
CHEESE,"CHEESE,GOAT,HARD TYPE",486,0.12,0.08,0.0,0.31,3.0
CHEESE,"CHEESE,GOAT,SEMISOFT TYPE",407,0.22,0.06,0.0,0.26,2.5
CHEESE,"CHEESE,GOAT,SOFT TYPE",288,0.19,0.25,0.0,0.18,1.8
EGG,"EGG,YOLK,RAW,FRZ,SALTED",357,2.52,0.261,0.0,0.0,0.0
CHEESE SUB,"CHEESE SUB,MOZZARELLA",437,0.81,0.051,0.1,0.11,1.0
No Category,CHEESE FONDUE,109,0.83,0.055,0.0,0.0,0.0
CHEESE SAU,"CHEESE SAU,PREP FROM RECIPE",166,0.35,0.045,0.6,0.0,0.0
CHEESE,"CHEESE,MEXICAN,QUESO ANEJO",54,1.38,0.047,0.0,0.26,2.5
CHEESE,"CHEESE,MEXICAN,QUESO ASADERO",55,1.0,0.053,0.0,0.24,2.4
CHEESE,"CHEESE,MEXICAN,QUESO CHIHUAHUA",56,1.03,0.055,0.0,0.26,2.5
CHEESE,"CHEESE,LOFAT,CHEDDAR OR COLBY",60,0.49,0.045,0.0,0.06,0.6
CHEESE,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",264,0.83,0.076,0.0,0.28,2.7
EGG,"EGG,WHOLE,RAW,FROZEN",158,1.07,0.162,0.0,0.0,0.0
EGG,"EGG,WHITE,RAW,FROZEN",0,0.06,0.004,0.0,0.0,0.0
EGG,"EGG,WHITE,DRIED",0,0.18,0.036,0.0,0.0,0.0
SOUR CREAM,"SOUR CREAM,REDUCED FAT",119,0.3,0.02,0.9,0.4,0.7
SOUR CREAM,"SOUR CREAM,LIGHT",90,0.42,0.02,0.9,0.3,0.5
SOUR CREAM,"SOUR CREAM,FAT FREE",73,0.3,0.02,0.0,0.0,0.0
USDA COMMODITY,"USDA COMMODITY,CHS,CHEDDAR,RED FAT",150,1.66,0.084,0.0,0.16,1.5
YOGURT,"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",0,0.43,0.037,1.1,0.0,0.0
PARMESAN CHS TOPPING,"PARMESAN CHS TOPPING,FAT FREE",40,1.1,0.1,0.0,0.04,0.4
CHEESE,"CHEESE,CREAM,FAT FREE",11,0.95,0.05,0.0,0.02,0.2
YOGURT,"YOGURT,CHOC,NONFAT MILK",0,0.5,0.047,0.0,0.0,0.0
No Category,KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,0,0.0,0.0,0.4,0.0,0.0
No Category,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,0,0.0,0.0,0.4,0.0,0.0
No Category,KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,0,0.0,0.0,0.2,0.0,0.0
No Category,KRAFT VELVEETA PAST PROCESS CHS SPRD,0,0.0,0.0,0.2,0.0,0.0
No Category,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,0,0.0,0.0,0.1,0.0,0.0
No Category,KRAFT BREAKSTONE'S RED FAT SOUR CRM,0,0.0,0.0,1.1,0.0,0.0
No Category,KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,0,0.0,0.0,1.2,0.0,0.0
No Category,KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),0,0.53,0.0,0.0,0.0,0.0
No Category,KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),0,0.46,0.0,0.0,0.0,0.0
No Category,KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),0,0.52,0.0,0.0,0.0,0.0
